cluster;intention;mot_cle;page_cible;priorite;notes
locale;transactionnelle;radio cergy sans rdv;/centres/cergy/radiographie;P2;politique acces a confirmer (q.19)
locale;transactionnelle;osteodensitometrie cergy;/centres/cergy/osteodensitometrie;P1;
locale;transactionnelle;densitometrie osseuse 95;/centres/cergy/osteodensitometrie;P2;
locale;transactionnelle;infiltration cergy;/examens/radiologie-interventionnelle;P1;
locale;transactionnelle;infiltration sous echographie 95;/examens/radiologie-interventionnelle;P2;
locale;transactionnelle;biopsie mammaire cergy;/examens/radiologie-interventionnelle;P2;imagerie de la femme
locale;transactionnelle;hysterosalpingographie 95;/examens/hysterosalpingographie;P1;tres faible concurrence
locale;transactionnelle;hysterosalpingographie ile de france;/examens/hysterosalpingographie;P2;
locale;transactionnelle;radiologie goussainville;/centres/goussainville;P2;teaser fin 2027 — poser l'ancrage des maintenant
locale;transactionnelle;irm goussainville;/centres/goussainville;P3;activable a l'ouverture selon plateau
locale;transactionnelle;centre imagerie goussainville;/centres/goussainville;P2;
modalite;informationnelle-transactionnelle;irm genou;/examens/irm/genou;P1;
modalite;informationnelle-transactionnelle;irm cerebrale;/examens/irm/cerebrale;P1;
modalite;informationnelle-transactionnelle;irm lombaire;/examens/irm/rachis-lombaire;P1;
modalite;informationnelle-transactionnelle;irm cervicale;/examens/irm/cervicale;P2;
modalite;informationnelle-transactionnelle;irm epaule;/examens/irm/epaule;P1;
modalite;informationnelle-transactionnelle;irm hanche;/examens/irm/hanche;P2;
modalite;informationnelle-transactionnelle;irm cheville;/examens/irm/cheville-pied;P2;
modalite;informationnelle-transactionnelle;irm poignet;/examens/irm/poignet-main;P3;
modalite;informationnelle-transactionnelle;irm prostate;/examens/irm/prostatique;P1;
modalite;informationnelle-transactionnelle;irm prostate pirads;/examens/irm/prostatique;P2;lectorat mixte patients/prescripteurs
modalite;informationnelle-transactionnelle;irm pelvienne;/examens/irm/pelvienne;P1;endometriose — reseau EndoIDF citable
modalite;informationnelle-transactionnelle;irm pelvienne endometriose;/examens/irm/pelvienne;P1;
modalite;informationnelle-transactionnelle;irm mammaire;/examens/irm/mammaire;P1;
modalite;informationnelle-transactionnelle;irm abdominale;/examens/irm/abdominale-hepatique;P2;
modalite;informationnelle-transactionnelle;irm hepatique;/examens/irm/abdominale-hepatique;P3;
modalite;informationnelle-transactionnelle;scanner thoracique;/examens/scanner/thoracique;P1;
modalite;informationnelle-transactionnelle;scanner abdominal;/examens/scanner/abdomino-pelvien;P1;
modalite;informationnelle-transactionnelle;scanner abdomino pelvien;/examens/scanner/abdomino-pelvien;P2;
modalite;informationnelle-transactionnelle;scanner cerebral;/examens/scanner/cerebral;P2;
modalite;informationnelle-transactionnelle;scanner des sinus;/examens/scanner/sinus;P2;
modalite;informationnelle-transactionnelle;scanner rachis lombaire;/examens/scanner/rachis;P3;
modalite;informationnelle-transactionnelle;uroscanner;/examens/scanner/uroscanner;P2;sous reserve q.18
modalite;informationnelle-transactionnelle;echographie abdominale;/examens/echographie/abdominale;P1;
modalite;informationnelle-transactionnelle;echographie pelvienne;/examens/echographie/pelvienne;P1;
modalite;informationnelle-transactionnelle;echographie thyroide;/examens/echographie/thyroide;P1;
modalite;informationnelle-transactionnelle;echo doppler veineux;/examens/echographie/doppler-veineux-arteriel;P1;
modalite;informationnelle-transactionnelle;echographie mammaire;/examens/echographie/mammaire;P1;
modalite;informationnelle-transactionnelle;echographie musculo squelettique;/examens/echographie/musculo-squelettique;P3;
modalite;informationnelle-transactionnelle;mammographie tomosynthese;/examens/mammographie;P2;
modalite;informationnelle-transactionnelle;prp injection genou;/examens/radiologie-interventionnelle;P2;ton strictement informatif (deontologie)
modalite;informationnelle-transactionnelle;viscosupplementation acide hyaluronique;/examens/radiologie-interventionnelle;P2;
modalite;informationnelle-transactionnelle;cytoponction thyroide;/examens/radiologie-interventionnelle;P2;
preparation;inquietude;irm a jeun;/examens/irm;P1;FAQ + fiche preparation
preparation;inquietude;combien de temps dure une irm;/examens/irm;P1;FAQ
preparation;inquietude;irm claustrophobie;/examens/irm;P1;FAQ + reassurance (casque, musique)
preparation;inquietude;irm pacemaker;/examens/irm;P1;contre-indications
preparation;inquietude;irm enceinte;/examens/irm;P2;
preparation;inquietude;irm avec injection gadolinium effets;/examens/irm;P2;
preparation;inquietude;ordonnance obligatoire irm;/faq;P1;
preparation;inquietude;scanner a jeun;/examens/scanner;P1;
preparation;inquietude;scanner produit de contraste creatinine;/examens/scanner;P1;
preparation;inquietude;metformine scanner;/examens/scanner;P2;
preparation;inquietude;allergie iode scanner;/examens/scanner;P2;
preparation;inquietude;scanner enceinte;/examens/scanner;P2;
preparation;inquietude;mammographie douloureux;/examens/mammographie;P2;
preparation;inquietude;quand faire une mammographie;/examens/mammographie;P1;depistage 50-74
preparation;inquietude;hysterosalpingographie douleur;/examens/hysterosalpingographie;P1;
preparation;inquietude;hysterosalpingographie quel jour du cycle;/examens/hysterosalpingographie;P1;J6-J12 valide client
preparation;inquietude;osteodensitometrie remboursement;/examens/osteodensitometrie;P1;conditions secu validees
preparation;inquietude;preparation examen radiologie documents;/preparer-mon-examen;P1;checklist
resultats;post-examen;resultats irm delai;/resultats;P1;
resultats;post-examen;compte rendu radiologie en ligne;/resultats;P1;portail Xplore
resultats;post-examen;recuperer images scanner en ligne;/resultats;P2;
resultats;post-examen;dmp compte rendu radiologie;/resultats;P3;
prescripteurs;b2b;irm urgente val d'oise;/professionnels-de-sante;P1;ligne dediee (q.41)
prescripteurs;b2b;portail medecin imagerie cergy;/professionnels-de-sante;P2;
prescripteurs;b2b;adresser un patient radiologie cergy;/professionnels-de-sante;P2;
marque;navigationnelle;alpha imagerie;/;P1;
marque;navigationnelle;alpha imagerie cergy;/centres/cergy;P1;
marque;navigationnelle;alpha imagerie doctolib;/prendre-rendez-vous;P1;
marque;navigationnelle;alpha imagerie horaires;/centres/cergy;P1;
marque;navigationnelle;alpha imagerie telephone;/contact;P2;
marque;navigationnelle;alpha imagerie resultats;/resultats;P1;
recrutement;emploi;emploi manipulateur radio cergy;/recrutement;P2;JobPosting des offres fournies
recrutement;emploi;radiologue remplacement val d'oise;/recrutement;P3;
locale;transactionnelle;score calcique cergy;/examens/scanner/score-calcique;P1;motif confirme client 28/08
locale;transactionnelle;score calcique 95;/examens/scanner/score-calcique;P2;
locale;transactionnelle;scanner score calcique val d'oise;/examens/scanner/score-calcique;P2;
locale;transactionnelle;cytoponction thyroide cergy;/examens/radiologie-interventionnelle/cytoponctions;P1;motif confirme
locale;transactionnelle;cytoponction thyroide 95;/examens/radiologie-interventionnelle/cytoponctions;P2;
locale;transactionnelle;cytoponction ganglion cergy;/examens/radiologie-interventionnelle/cytoponctions;P2;motif confirme
locale;transactionnelle;cytoponction parotide ile de france;/examens/radiologie-interventionnelle/cytoponctions;P2;glandes salivaires — longue traine rare
locale;transactionnelle;biopsie mammaire sous echographie cergy;/examens/radiologie-interventionnelle/biopsie-mammaire;P1;motif confirme
locale;transactionnelle;biopsie mammaire val d'oise;/examens/radiologie-interventionnelle/biopsie-mammaire;P2;
locale;transactionnelle;infiltration sous scanner cergy;/examens/radiologie-interventionnelle/infiltrations;P1;guidage scanner confirme
locale;transactionnelle;infiltration sous scanner 95;/examens/radiologie-interventionnelle/infiltrations;P2;
locale;transactionnelle;infiltration hanche sous scanner;/examens/radiologie-interventionnelle/infiltrations;P2;
locale;transactionnelle;infiltration echoguidee epaule cergy;/examens/radiologie-interventionnelle/infiltrations;P2;
locale;transactionnelle;infiltration lombaire val d'oise;/examens/radiologie-interventionnelle/infiltrations;P2;guidage radio/scanner
locale;transactionnelle;ponction kyste cergy;/examens/radiologie-interventionnelle/ponctions-evacuations;P2;motif confirme
locale;transactionnelle;ponction evacuation hematome 95;/examens/radiologie-interventionnelle/ponctions-evacuations;P3;
locale;transactionnelle;drainage collection imagerie val d'oise;/examens/radiologie-interventionnelle/ponctions-evacuations;P3;
locale;transactionnelle;radiographie enfant cergy;/examens/radiographie;P1;radio pediatrique confirmee
locale;transactionnelle;radio pediatrique val d'oise;/examens/radiographie;P2;
locale;transactionnelle;doppler arteriel cergy;/examens/echographie/doppler-veineux-arteriel;P1;motif confirme
locale;transactionnelle;doppler veineux membres inferieurs cergy;/examens/echographie/doppler-veineux-arteriel;P1;
locale;transactionnelle;echo doppler 95;/examens/echographie/doppler-veineux-arteriel;P2;
locale;transactionnelle;rdv radiologie sous 48h;/prendre-rendez-vous;P1;delai <48h confirme client — formulation « le plus souvent sous 48 h »
locale;transactionnelle;irm rapide cergy;/centres/cergy/irm;P1;idem — jamais de promesse absolue
locale;transactionnelle;scanner rapide val d'oise;/centres/cergy/scanner;P2;
preparation;inquietude;score calcique a jeun;/examens/scanner/score-calcique;P2;FAQ
preparation;inquietude;score calcique comment ca se passe;/examens/scanner/score-calcique;P2;FAQ
preparation;inquietude;score calcique remboursement;/examens/scanner/score-calcique;P2;FAQ
preparation;inquietude;cytoponction thyroide douloureux;/examens/radiologie-interventionnelle/cytoponctions;P1;FAQ
preparation;inquietude;cytoponction resultats combien de temps;/examens/radiologie-interventionnelle/cytoponctions;P2;FAQ
preparation;inquietude;biopsie mammaire douleur;/examens/radiologie-interventionnelle/biopsie-mammaire;P1;FAQ
preparation;inquietude;biopsie mammaire resultats delai;/examens/radiologie-interventionnelle/biopsie-mammaire;P2;FAQ
preparation;inquietude;infiltration cortisone effets secondaires;/examens/radiologie-interventionnelle/infiltrations;P1;FAQ — ton prudent
preparation;inquietude;infiltration combien de temps pour agir;/examens/radiologie-interventionnelle/infiltrations;P2;FAQ
preparation;inquietude;doppler comment se passe l'examen;/examens/echographie/doppler-veineux-arteriel;P2;FAQ
preparation;inquietude;radio enfant precautions;/examens/radiographie;P3;radioprotection pediatrique
